,Date,State,Thermal,Hydro,Gas/Diesel/Naptha,Wind,Day,Month,Year
100,13-04-2023,BIHAR,531.67,0.0,0.0,33.75,13,4,2023
101,12-04-2023,BIHAR,531.67,0.0,0.0,35.83,12,4,2023
102,11-04-2023,BIHAR,507.5,0.0,0.0,36.67,11,4,2023
103,10-04-2023,BIHAR,412.08,0.0,0.0,33.33,10,4,2023
104,09-04-2023,BIHAR,487.5,0.0,0.0,34.58,9,4,2023
105,08-04-2023,BIHAR,518.33,0.0,0.0,32.5,8,4,2023
106,07-04-2023,BIHAR,495.83,0.0,0.0,36.25,7,4,2023
107,06-04-2023,BIHAR,503.75,0.0,0.0,35.83,6,4,2023
108,05-04-2023,BIHAR,454.17,0.0,0.0,61.25,5,4,2023
109,04-04-2023,BIHAR,441.67,0.0,0.0,33.33,4,4,2023
110,03-04-2023,BIHAR,427.5,0.0,0.0,33.75,3,4,2023
111,02-04-2023,BIHAR,412.92,0.0,0.0,34.17,2,4,2023
112,01-04-2023,BIHAR,403.33,0.0,0.0,42.5,1,4,2023
113,31-03-2023,BIHAR,368.75,0.0,0.0,16.67,31,3,2023
114,30-03-2023,BIHAR,384.17,0.0,0.0,33.33,30,3,2023
115,29-03-2023,BIHAR,416.25,0.0,0.0,34.17,29,3,2023
116,28-03-2023,BIHAR,349.17,0.0,0.0,56.25,28,3,2023
117,27-03-2023,BIHAR,462.08,0.0,0.0,36.67,27,3,2023
118,26-03-2023,BIHAR,461.25,0.0,0.0,30.83,26,3,2023
119,25-03-2023,BIHAR,458.33,0.0,0.0,31.67,25,3,2023
120,24-03-2023,BIHAR,413.33,0.0,0.0,31.67,24,3,2023
121,23-03-2023,BIHAR,432.5,0.0,0.0,64.58,23,3,2023
122,22-03-2023,BIHAR,401.67,0.0,0.0,34.58,22,3,2023
123,21-03-2023,BIHAR,404.58,0.0,0.0,22.5,21,3,2023
124,20-03-2023,BIHAR,391.25,0.0,0.0,13.33,20,3,2023
125,19-03-2023,BIHAR,431.25,0.0,0.0,19.17,19,3,2023
126,18-03-2023,BIHAR,388.75,0.0,0.0,23.75,18,3,2023
127,17-03-2023,BIHAR,421.25,0.0,0.0,16.67,17,3,2023
128,16-03-2023,BIHAR,417.92,0.0,0.0,18.75,16,3,2023
129,15-03-2023,BIHAR,330.42,0.0,0.0,31.25,15,3,2023
130,14-03-2023,BIHAR,376.67,0.0,0.0,30.42,14,3,2023
131,13-03-2023,BIHAR,365.0,0.0,0.0,32.92,13,3,2023
132,12-03-2023,BIHAR,432.5,0.0,0.0,32.92,12,3,2023
133,11-03-2023,BIHAR,427.08,0.0,0.0,31.25,11,3,2023
134,10-03-2023,BIHAR,453.33,0.0,0.0,23.75,10,3,2023
135,09-03-2023,BIHAR,413.75,0.0,0.0,34.17,9,3,2023
136,08-03-2023,BIHAR,348.33,0.0,0.0,18.75,8,3,2023
137,07-03-2023,BIHAR,417.92,0.0,0.0,34.17,7,3,2023
138,06-03-2023,BIHAR,417.08,0.0,0.0,36.25,6,3,2023
139,05-03-2023,BIHAR,439.58,0.0,0.0,33.75,5,3,2023
140,04-03-2023,BIHAR,440.0,0.0,0.0,33.33,4,3,2023
141,03-03-2023,BIHAR,447.08,0.0,0.0,34.58,3,3,2023
142,02-03-2023,BIHAR,373.33,0.0,0.0,32.92,2,3,2023
143,01-03-2023,BIHAR,433.33,0.0,0.0,32.5,1,3,2023
144,28-02-2023,BIHAR,441.67,0.0,0.0,31.67,28,2,2023
145,27-02-2023,BIHAR,225.42,0.0,0.0,32.5,27,2,2023
146,26-02-2023,BIHAR,214.17,0.0,0.0,33.75,26,2,2023
147,25-02-2023,BIHAR,207.08,0.0,0.0,35.0,25,2,2023
148,24-02-2023,BIHAR,211.67,0.0,0.0,43.75,24,2,2023
149,23-02-2023,BIHAR,207.92,0.0,0.0,47.92,23,2,2023
150,22-02-2023,BIHAR,302.08,0.0,0.0,28.75,22,2,2023
151,21-02-2023,BIHAR,397.92,0.0,0.0,22.08,21,2,2023
152,20-02-2023,BIHAR,437.92,0.0,0.0,21.67,20,2,2023
153,19-02-2023,BIHAR,425.0,0.0,0.0,25.0,19,2,2023
154,18-02-2023,BIHAR,448.33,0.0,0.0,25.83,18,2,2023
155,17-02-2023,BIHAR,442.08,0.0,0.0,26.25,17,2,2023
156,16-02-2023,BIHAR,446.25,0.0,0.0,23.75,16,2,2023
157,15-02-2023,BIHAR,453.75,0.0,0.0,25.42,15,2,2023
158,14-02-2023,BIHAR,463.75,0.0,0.0,29.17,14,2,2023
159,13-02-2023,BIHAR,420.83,0.0,0.0,29.58,13,2,2023
160,12-02-2023,BIHAR,390.42,0.0,0.0,46.67,12,2,2023
161,11-02-2023,BIHAR,390.42,0.0,0.0,46.67,11,2,2023
162,10-02-2023,BIHAR,386.25,0.0,0.0,31.67,10,2,2023
163,09-02-2023,BIHAR,371.25,0.0,0.0,33.33,9,2,2023
164,08-02-2023,BIHAR,383.33,0.0,0.0,23.33,8,2,2023
165,07-02-2023,BIHAR,370.42,0.0,0.0,26.25,7,2,2023
166,06-02-2023,BIHAR,426.25,0.0,0.0,25.0,6,2,2023
167,05-02-2023,BIHAR,297.92,0.0,0.0,25.83,5,2,2023
168,04-02-2023,BIHAR,230.83,0.0,0.0,24.58,4,2,2023
169,03-02-2023,BIHAR,437.08,0.0,0.0,26.25,3,2,2023
170,02-02-2023,BIHAR,435.42,0.0,0.0,23.75,2,2,2023
171,01-02-2023,BIHAR,433.75,0.0,0.0,27.5,1,2,2023
172,31-01-2023,BIHAR,447.08,0.0,0.0,20.83,31,1,2023
173,30-01-2023,BIHAR,437.92,0.0,0.0,23.75,30,1,2023
174,29-01-2023,BIHAR,440.0,0.0,0.0,26.67,29,1,2023
175,28-01-2023,BIHAR,386.67,0.0,0.0,22.92,28,1,2023
176,27-01-2023,BIHAR,381.25,0.0,0.0,20.0,27,1,2023
177,26-01-2023,BIHAR,399.17,0.0,0.0,20.0,26,1,2023
178,25-01-2023,BIHAR,428.33,0.0,0.0,19.58,25,1,2023
179,24-01-2023,BIHAR,447.08,0.0,0.0,19.17,24,1,2023
180,23-01-2023,BIHAR,403.33,0.0,0.0,19.17,23,1,2023
181,22-01-2023,BIHAR,435.83,0.0,0.0,16.67,22,1,2023
182,21-01-2023,BIHAR,418.33,0.0,0.0,16.67,21,1,2023
183,20-01-2023,BIHAR,368.33,0.0,0.0,21.25,20,1,2023
184,19-01-2023,BIHAR,437.08,0.0,0.0,20.0,19,1,2023
185,18-01-2023,BIHAR,437.08,0.0,0.0,21.67,18,1,2023
186,17-01-2023,BIHAR,446.25,0.0,0.0,21.67,17,1,2023
187,16-01-2023,BIHAR,408.33,0.0,0.0,20.83,16,1,2023
188,15-01-2023,BIHAR,402.08,0.0,0.0,16.25,15,1,2023
189,14-01-2023,BIHAR,387.92,0.0,0.0,19.17,14,1,2023
190,13-01-2023,BIHAR,462.92,0.0,0.0,19.17,13,1,2023
191,12-01-2023,BIHAR,450.42,0.0,0.0,20.42,12,1,2023
192,11-01-2023,BIHAR,409.58,0.0,0.0,48.33,11,1,2023
193,10-01-2023,BIHAR,425.0,0.0,0.0,15.0,10,1,2023
194,09-01-2023,BIHAR,447.5,0.0,0.0,20.42,9,1,2023
195,08-01-2023,BIHAR,434.58,0.0,0.0,21.67,8,1,2023
196,07-01-2023,BIHAR,412.08,0.0,0.0,18.75,7,1,2023
197,06-01-2023,BIHAR,444.58,0.0,0.0,20.42,6,1,2023
198,05-01-2023,BIHAR,454.58,0.0,0.0,15.83,5,1,2023
199,04-01-2023,BIHAR,457.5,0.0,0.0,9.17,4,1,2023
200,03-01-2023,BIHAR,447.92,0.0,0.0,6.67,3,1,2023
201,02-01-2023,BIHAR,387.08,0.0,0.0,10.83,2,1,2023
202,01-01-2023,BIHAR,413.33,0.0,0.0,15.42,1,1,2023
203,31-12-2022,BIHAR,409.58,0.0,0.0,27.5,31,12,2022
204,30-12-2022,BIHAR,419.17,0.0,0.0,15.83,30,12,2022
205,29-12-2022,BIHAR,433.33,0.0,0.0,20.42,29,12,2022
206,28-12-2022,BIHAR,467.92,0.0,0.0,20.42,28,12,2022
207,27-12-2022,BIHAR,467.08,0.0,0.0,16.25,27,12,2022
208,26-12-2022,BIHAR,419.58,0.0,0.0,13.75,26,12,2022
209,25-12-2022,BIHAR,415.42,0.0,0.0,19.58,25,12,2022
210,24-12-2022,BIHAR,410.42,0.0,0.0,16.67,24,12,2022
211,23-12-2022,BIHAR,434.58,0.0,0.0,20.83,23,12,2022
212,22-12-2022,BIHAR,411.67,0.0,0.0,17.08,22,12,2022
213,21-12-2022,BIHAR,427.08,0.0,0.0,14.58,21,12,2022
214,20-12-2022,BIHAR,462.08,0.0,0.0,17.92,20,12,2022
215,19-12-2022,BIHAR,466.67,0.0,0.0,18.33,19,12,2022
216,18-12-2022,BIHAR,448.75,0.0,0.0,16.25,18,12,2022
217,17-12-2022,BIHAR,432.08,0.0,0.0,19.58,17,12,2022
218,16-12-2022,BIHAR,471.25,0.0,0.0,19.58,16,12,2022
219,15-12-2022,BIHAR,434.17,0.0,0.0,15.42,15,12,2022
220,14-12-2022,BIHAR,427.92,0.0,0.0,22.5,14,12,2022
221,13-12-2022,BIHAR,419.17,0.0,0.0,21.67,13,12,2022
222,12-12-2022,BIHAR,404.58,0.0,0.0,20.0,12,12,2022
223,11-12-2022,BIHAR,439.58,0.0,0.0,19.58,11,12,2022
224,10-12-2022,BIHAR,437.5,0.0,0.0,16.25,10,12,2022
225,09-12-2022,BIHAR,421.25,0.0,0.0,20.42,9,12,2022
226,08-12-2022,BIHAR,431.25,0.0,0.0,18.33,8,12,2022
227,07-12-2022,BIHAR,452.92,0.0,0.0,21.67,7,12,2022
228,06-12-2022,BIHAR,430.0,0.0,0.0,18.75,6,12,2022
229,05-12-2022,BIHAR,435.83,0.0,0.0,21.67,5,12,2022
230,04-12-2022,BIHAR,458.33,0.0,0.0,20.42,4,12,2022
231,03-12-2022,BIHAR,444.58,0.0,0.0,19.58,3,12,2022
232,02-12-2022,BIHAR,405.83,0.0,0.0,18.75,2,12,2022
233,01-12-2022,BIHAR,416.67,0.0,0.0,18.33,1,12,2022
234,30-11-2022,BIHAR,436.25,0.0,0.0,19.17,30,11,2022
235,29-11-2022,BIHAR,424.17,0.0,0.0,17.5,29,11,2022
236,28-11-2022,BIHAR,428.75,0.0,0.0,20.0,28,11,2022
237,27-11-2022,BIHAR,435.42,0.0,0.0,20.42,27,11,2022
238,26-11-2022,BIHAR,440.0,0.0,0.0,21.25,26,11,2022
239,25-11-2022,BIHAR,433.33,0.0,0.0,23.33,25,11,2022
240,24-11-2022,BIHAR,442.5,0.0,0.0,22.92,24,11,2022
241,23-11-2022,BIHAR,466.67,0.0,0.0,23.33,23,11,2022
242,22-11-2022,BIHAR,479.17,0.0,0.0,22.08,22,11,2022
243,21-11-2022,BIHAR,422.5,0.0,0.0,22.5,21,11,2022
244,20-11-2022,BIHAR,425.0,0.0,0.0,22.92,20,11,2022
245,19-11-2022,BIHAR,448.33,0.0,0.0,24.58,19,11,2022
246,18-11-2022,BIHAR,443.33,0.0,0.0,22.92,18,11,2022
247,17-11-2022,BIHAR,449.17,0.0,0.0,21.25,17,11,2022
248,16-11-2022,BIHAR,443.33,0.0,0.0,22.92,16,11,2022
249,15-11-2022,BIHAR,435.83,0.0,0.0,22.5,15,11,2022
250,14-11-2022,BIHAR,450.0,0.0,0.0,24.58,14,11,2022
251,13-11-2022,BIHAR,400.0,0.0,0.0,22.5,13,11,2022
252,12-11-2022,BIHAR,332.5,0.0,0.0,22.08,12,11,2022
253,11-11-2022,BIHAR,257.08,0.0,0.0,19.58,11,11,2022
254,10-11-2022,BIHAR,238.75,0.0,0.0,20.83,10,11,2022
255,08-11-2022,BIHAR,401.67,0.0,0.0,21.67,8,11,2022
256,07-11-2022,BIHAR,451.25,0.0,0.0,21.67,7,11,2022
257,06-11-2022,BIHAR,473.75,0.0,0.0,20.0,6,11,2022
258,05-11-2022,BIHAR,432.08,0.0,0.0,22.92,5,11,2022
259,04-11-2022,BIHAR,424.17,0.0,0.0,22.08,4,11,2022
260,03-11-2022,BIHAR,377.92,0.0,0.0,23.33,3,11,2022
261,02-11-2022,BIHAR,435.42,0.0,0.0,23.33,2,11,2022
262,01-11-2022,BIHAR,439.58,0.0,0.0,24.58,1,11,2022
263,31-10-2022,BIHAR,437.92,0.0,0.0,24.17,31,10,2022
264,30-10-2022,BIHAR,371.67,0.0,0.0,23.33,30,10,2022
265,29-10-2022,BIHAR,217.08,0.0,0.0,23.33,29,10,2022
266,28-10-2022,BIHAR,291.25,0.0,0.0,28.33,28,10,2022
267,27-10-2022,BIHAR,376.25,0.0,0.0,25.0,27,10,2022
268,26-10-2022,BIHAR,343.33,0.0,0.0,25.83,26,10,2022
269,25-10-2022,BIHAR,342.92,0.0,0.0,27.08,25,10,2022
270,24-10-2022,BIHAR,365.42,0.0,0.0,25.83,24,10,2022
271,23-10-2022,BIHAR,423.75,0.0,0.0,23.33,23,10,2022
272,22-10-2022,BIHAR,436.25,0.0,0.0,24.58,22,10,2022
273,21-10-2022,BIHAR,345.42,0.0,0.0,22.08,21,10,2022
274,20-10-2022,BIHAR,325.42,0.0,0.0,24.17,20,10,2022
275,19-10-2022,BIHAR,350.83,0.0,0.0,23.75,19,10,2022
276,18-10-2022,BIHAR,391.67,0.0,0.0,22.5,18,10,2022
277,17-10-2022,BIHAR,393.33,0.0,0.0,24.17,17,10,2022
278,16-10-2022,BIHAR,361.67,0.0,0.0,20.83,16,10,2022
279,15-10-2022,BIHAR,386.25,0.0,0.0,25.83,15,10,2022
280,14-10-2022,BIHAR,394.17,0.0,0.0,22.5,14,10,2022
281,13-10-2022,BIHAR,360.0,0.0,0.0,19.17,13,10,2022
282,12-10-2022,BIHAR,362.08,0.0,0.0,14.17,12,10,2022
283,11-10-2022,BIHAR,390.0,0.0,0.0,17.92,11,10,2022
284,10-10-2022,BIHAR,398.75,0.0,0.0,40.0,10,10,2022
285,09-10-2022,BIHAR,387.5,0.0,0.0,25.83,9,10,2022
286,08-10-2022,BIHAR,411.25,0.0,0.0,23.33,8,10,2022
287,07-10-2022,BIHAR,436.67,0.0,0.0,22.5,7,10,2022
288,06-10-2022,BIHAR,262.5,0.0,0.0,19.58,6,10,2022
289,05-10-2022,BIHAR,225.42,0.0,0.0,20.83,5,10,2022
290,04-10-2022,BIHAR,390.83,0.0,0.0,13.75,4,10,2022
291,03-10-2022,BIHAR,398.33,0.0,0.0,16.25,3,10,2022
292,02-10-2022,BIHAR,441.67,0.0,0.0,22.92,2,10,2022
293,01-10-2022,BIHAR,413.33,0.0,0.0,25.83,1,10,2022
294,30-09-2022,BIHAR,212.08,0.0,0.0,23.75,30,9,2022
295,29-09-2022,BIHAR,456.25,0.0,0.0,15.0,29,9,2022
296,28-09-2022,BIHAR,465.42,0.0,0.0,23.33,28,9,2022
297,27-09-2022,BIHAR,420.0,0.0,0.0,20.42,27,9,2022
298,26-09-2022,BIHAR,401.25,0.0,0.0,19.17,26,9,2022
299,25-09-2022,BIHAR,370.83,0.0,0.0,17.08,25,9,2022
300,24-09-2022,BIHAR,373.33,0.0,0.0,20.42,24,9,2022
301,23-09-2022,BIHAR,441.25,0.0,0.0,24.58,23,9,2022
302,22-09-2022,BIHAR,426.25,0.0,0.0,20.83,22,9,2022
303,21-09-2022,BIHAR,447.5,0.0,0.0,22.08,21,9,2022
304,20-09-2022,BIHAR,413.75,0.0,0.0,17.5,20,9,2022
305,19-09-2022,BIHAR,390.42,0.0,0.0,20.0,19,9,2022
306,18-09-2022,BIHAR,425.0,0.0,0.0,22.5,18,9,2022
307,17-09-2022,BIHAR,360.83,0.0,0.0,17.5,17,9,2022
